name,name_iata,city,flights,delays,cancelled,early,total_delay_m,flights_mon,delays_mon,total_delay_mon,flights_tue,delays_tue,total_delay_tue,flights_wed,delays_wed,total_delay_wed,flights_thu,delays_thu,total_delay_thu,flights_fri,delays_fri,total_delay_fri,flights_sat,delays_sat,total_delay_sat,flights_sun,delays_sun,total_delay_sun,flights_jan,delays_jan,total_delay_jan,flights_feb,delays_feb,total_delay_feb,flights_mar,delays_mar,total_delay_mar,flights_apr,delays_apr,total_delay_apr,flights_may,delays_may,total_delay_may,flights_jun,delays_jun,total_delay_jun,flights_jul,delays_jul,total_delay_jul,flights_aug,delays_aug,total_delay_aug,flights_sep,delays_sep,total_delay_sep,flights_oct,delays_oct,total_delay_oct,flights_nov,delays_nov,total_delay_nov,flights_dec,delays_dec,total_delay_dec
Gustavus Airport,GST,Gustavus,77,45,1,28,1581,11,7,204,11,5,264,11,6,203,11,7,304,11,7,181,11,9,211,11,4,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,345,31,18,863,22,13,373,0,0,0,0,0,0,0,0,0,0,0,0
Great Falls International Airport,GTF,Great Falls,1966,286,14,1607,13512,296,43,2575,251,47,1621,297,54,2451,300,37,908,295,40,1863,241,31,1317,286,34,2777,146,32,1923,131,23,592,146,21,1471,161,20,927,197,10,166,207,33,1654,233,37,941,230,32,1077,189,23,672,0,0,0,162,19,1002,164,36,3087
Golden Triangle Regional Airport,GTR,Columbus-Starkville-West Point,927,186,14,700,9806,141,31,1437,142,29,1883,142,28,1731,138,28,1098,135,24,853,93,14,1011,136,32,1793,83,15,554,78,14,1272,89,28,1850,84,18,565,87,9,502,86,15,453,87,17,1143,88,22,1251,85,12,257,0,0,0,83,19,683,77,17,1276
Gunnison-Crested Butte Regional Airport,GUC,Gunnison,497,166,25,294,7565,72,30,1290,51,18,735,52,22,1083,71,22,888,60,16,796,99,28,1133,92,30,1640,78,37,2039,84,25,1202,111,26,983,26,3,37,6,2,12,19,9,519,50,22,1004,46,12,853,23,7,177,0,0,0,2,1,159,52,22,580
Guam International Airport,GUM,Agana,334,225,3,87,5986,48,28,844,48,21,572,48,39,1699,48,32,478,47,29,752,47,41,1087,48,35,554,31,19,474,28,19,270,31,18,1118,30,20,831,31,26,415,30,27,1395,31,28,460,31,25,425,30,20,336,0,0,0,30,13,184,31,10,78
Yampa Valley Airport (Yampa Valley Regional),HDN,Hayden,703,236,16,437,11667,86,33,1176,63,16,391,85,29,1310,91,32,1939,73,23,904,155,55,2486,150,48,3461,150,60,2566,153,65,3319,175,45,2288,21,0,0,0,0,0,5,0,0,31,4,145,31,6,384,9,3,74,0,0,0,0,0,0,128,53,2891
Range Regional Airport (Chisholm-Hibbing Airport),HIB,Hibbing,898,169,20,633,7367,144,37,2009,122,23,769,144,26,716,142,25,1267,139,23,666,93,17,780,114,18,1160,77,23,664,76,16,1254,84,12,527,82,15,241,84,9,336,81,20,1267,85,14,468,83,9,221,82,11,251,0,0,0,79,20,1424,85,20,714
Helena Regional Airport,HLN,Helena,1435,179,9,1164,7566,222,31,1248,181,27,1619,213,31,1994,216,19,455,215,23,769,176,22,668,212,26,813,110,16,323,105,18,594,115,8,106,135,9,119,143,10,920,139,21,1157,146,16,855,146,21,364,137,15,711,0,0,0,140,20,1152,119,25,1265
Honolulu International Airport,HNL,Honolulu,43172,12283,174,28736,270302,6180,1639,40107,5884,1483,35245,6083,1571,34699,6199,1895,37589,6483,2235,48103,6090,1785,40017,6253,1675,34542,3897,1194,26282,3476,1198,29542,3950,1262,27511,3813,851,17874,4008,949,19589,4140,1173,28272,4307,1275,24856,4202,1490,37359,3658,1042,21552,0,0,0,3733,834,20244,3988,1015,17221
Lea County Regional Airport,HOB,Hobbs,571,83,23,417,6186,95,14,792,65,10,520,81,16,1620,95,11,1195,92,13,1015,47,8,412,96,11,632,49,4,297,47,7,352,53,10,472,52,6,229,56,14,1285,56,8,1058,58,9,851,51,8,820,46,4,96,0,0,0,51,5,319,52,8,407
