name,name_iata,city,flights,delays,cancelled,early,total_delay_m,flights_mon,delays_mon,total_delay_mon,flights_tue,delays_tue,total_delay_tue,flights_wed,delays_wed,total_delay_wed,flights_thu,delays_thu,total_delay_thu,flights_fri,delays_fri,total_delay_fri,flights_sat,delays_sat,total_delay_sat,flights_sun,delays_sun,total_delay_sun,flights_jan,delays_jan,total_delay_jan,flights_feb,delays_feb,total_delay_feb,flights_mar,delays_mar,total_delay_mar,flights_apr,delays_apr,total_delay_apr,flights_may,delays_may,total_delay_may,flights_jun,delays_jun,total_delay_jun,flights_jul,delays_jul,total_delay_jul,flights_aug,delays_aug,total_delay_aug,flights_sep,delays_sep,total_delay_sep,flights_oct,delays_oct,total_delay_oct,flights_nov,delays_nov,total_delay_nov,flights_dec,delays_dec,total_delay_dec
Pellston Regional Airport of Emmet County,PLN,Pellston,753,114,21,491,10234,115,16,959,112,22,2105,113,17,1641,114,17,1635,112,14,1484,88,11,890,99,17,1520,53,10,901,49,11,1547,53,5,575,52,11,1380,62,6,398,87,11,883,120,23,1724,93,14,686,60,9,425,0,0,0,62,5,490,62,9,1225
Pensacola International Airport (Pensacola Gulf Coast Regional Airport),PNS,Pensacola,6534,1943,108,4172,72162,934,304,10138,937,285,11042,929,294,11724,940,297,12285,932,269,10536,934,229,7324,928,265,9113,635,168,6205,572,193,5557,626,212,8913,625,169,7844,514,158,7845,694,236,8354,749,223,7378,687,190,5960,488,115,2437,0,0,0,456,128,4628,488,151,7041
Pago Pago International Airport (Tafuna Airport),PPG,Pago Pago,107,45,0,60,2095,48,19,614,0,0,0,12,4,887,0,0,0,47,22,594,0,0,0,0,0,0,10,3,28,8,7,104,9,9,686,8,5,81,9,4,20,11,2,32,14,2,84,11,3,64,8,4,64,0,0,0,9,4,129,10,2,803
Tri-Cities Airport,PSC,Pasco,2433,450,29,1867,18625,362,73,2544,362,65,2913,362,65,2707,356,70,3145,351,66,3093,293,52,1778,347,59,2445,180,47,1739,159,21,1209,209,21,545,203,27,1810,185,20,514,201,51,1408,266,37,2153,240,47,1979,202,31,1285,0,0,0,290,65,2608,298,83,3375
Mercedita Airport,PSE,Ponce,749,177,11,536,7051,109,28,1237,105,28,838,106,32,842,108,22,1355,105,20,1138,107,25,977,109,22,664,74,16,465,56,10,716,62,19,1264,60,16,466,62,9,233,72,19,748,93,21,850,64,22,972,60,10,380,0,0,0,64,7,51,82,28,906
Petersburg James A. Johnson Airport,PSG,Petersburg,664,218,9,420,8390,96,25,842,96,30,1262,96,31,1490,94,29,943,92,39,1865,94,36,1224,96,28,764,62,20,1233,56,12,371,62,16,1335,60,22,366,62,30,828,60,22,1009,62,25,766,62,34,976,60,17,351,0,0,0,58,11,510,60,9,645
Palm Springs International Airport,PSP,Palm Springs,8987,2635,101,5909,112952,1295,438,18555,1228,345,16121,1260,335,13592,1303,385,16737,1295,380,16448,1270,310,12724,1336,442,18775,1078,387,15948,1096,397,15229,1301,417,16302,1095,296,12544,853,217,9473,458,116,6657,435,120,5568,453,120,5488,485,101,4290,0,0,0,850,203,8768,883,261,12685
Pueblo Memorial Airport,PUB,Pueblo,264,49,11,189,2197,44,7,275,44,8,241,44,9,296,44,5,80,44,11,781,22,3,66,22,6,458,53,13,697,48,15,573,53,6,393,52,8,309,52,5,165,6,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theodore Francis Green State Airport,PVD,Providence,11058,3627,267,6507,111823,1639,556,15787,1646,563,17475,1667,553,18420,1627,582,19847,1599,529,14430,1388,423,11828,1492,421,14036,1024,343,9742,819,336,11591,1056,390,12017,1002,274,7295,982,270,8482,986,361,12499,991,425,14626,995,348,11348,1047,224,6248,0,0,0,1070,271,6070,1086,385,11905
Portland International Jetport,PWM,Portland,4681,1363,138,2997,60307,691,183,9454,664,216,9907,700,218,8157,677,214,10014,663,170,6728,604,165,6671,682,197,9376,226,67,2574,252,81,3595,326,92,4359,379,90,5570,428,104,4806,553,169,9013,629,210,10285,616,186,7540,470,136,4296,0,0,0,379,98,3167,423,130,5102
Rapid City Regional Airport,RAP,Rapid City,3265,879,48,2181,32177,475,138,5750,456,134,4284,459,124,4638,473,122,4611,471,125,4081,434,103,4147,497,133,4666,210,73,2944,210,57,2008,242,55,1476,207,39,1531,306,71,3284,408,138,4450,515,158,5096,437,108,3583,266,44,1377,0,0,0,246,66,2560,218,70,3868
Redding Municipal Airport,RDD,Redding,727,175,21,507,8058,105,28,1255,105,26,1370,104,24,655,104,28,1382,101,24,912,103,23,1295,105,22,1189,92,26,1157,84,23,830,66,11,340,60,9,226,62,19,808,60,21,933,62,12,716,62,18,1312,60,14,448,0,0,0,58,9,503,61,13,785
Redmond Municipal Airport (Roberts Field),RDM,Redmond,2152,443,30,1626,22538,323,70,3484,310,69,3683,304,70,3713,319,69,2949,311,52,2637,268,53,2198,317,60,3874,165,51,2395,152,30,1336,184,29,1353,176,15,486,180,25,1780,226,57,2301,243,50,2251,231,50,3606,189,31,880,0,0,0,197,41,2271,209,64,3879
Raleigh-Durham International Airport,RDU,Raleigh,31896,11313,741,17946,384356,4809,1781,65896,4759,1580,59794,4767,1643,55126,4792,1869,62897,4742,1757,53183,3499,1103,38452,4528,1580,49008,2738,806,26711,2427,906,35309,2875,945,34824,2858,907,28280,3030,1024,32977,3193,1469,54674,3246,1278,45512,3033,1054,40002,2747,761,22391,0,0,0,2858,911,23473,2891,1252,40203
Rhinelander-Oneida County Airport,RHI,Rhinelander,954,162,15,654,8699,144,26,1462,144,29,1401,144,28,1564,142,25,1385,141,20,1116,95,15,832,144,19,939,88,16,1254,80,7,253,89,15,601,86,16,558,88,13,657,86,17,769,89,19,671,88,10,690,86,15,884,0,0,0,84,20,1455,90,14,907
Richmond International Airport,RIC,Richmond,15355,4846,423,9370,206003,2358,781,35887,2321,688,27033,2368,740,37264,2313,776,36111,2305,733,25304,1554,479,21675,2136,649,22729,1274,369,18018,1175,423,17759,1336,404,16356,1309,369,14455,1299,346,13392,1451,531,24184,1583,592,23707,1616,523,26013,1556,379,15280,0,0,0,1406,443,17766,1350,467,19073
Rock Springs-Sweetwater County Airport,RKS,Rock Springs,690,114,18,528,7143,104,17,412,104,16,1680,104,21,1273,105,14,850,103,17,1879,66,13,758,104,16,291,120,26,1246,56,8,461,62,9,986,56,4,177,57,7,413,56,11,729,58,9,609,57,7,67,56,5,119,0,0,0,55,13,606,57,15,1730
Reno/Tahoe International Airport,RNO,Reno,13011,4383,133,7758,140913,1920,668,22968,1892,645,19375,1889,589,17077,1889,684,20509,1870,691,20657,1684,465,15149,1867,641,25178,1092,314,10197,994,325,10469,1192,373,13836,1190,342,10585,1199,378,10463,1358,505,17528,1394,571,21526,1331,469,15352,1150,331,8512,0,0,0,1012,292,7284,1099,483,15161
Roanoke Regional Airport (Woodrum Field),ROA,Roanoke,2282,691,59,1458,31181,349,101,5282,348,95,3972,353,107,4610,342,123,4257,339,102,4832,228,60,3414,323,103,4814,140,36,1683,142,38,1814,225,68,2397,221,64,3173,230,64,1967,228,88,3561,232,91,4239,236,83,4076,219,39,1280,0,0,0,206,60,2781,203,60,4210
Greater Rochester International Airport,ROC,Rochester,7448,2091,185,4811,86594,1113,315,14482,1114,338,13592,1110,308,12794,1095,301,13865,1070,304,10976,901,244,9061,1045,281,11824,610,201,9715,559,201,8346,714,200,9191,683,156,5454,778,194,9362,645,188,7384,687,230,8281,671,209,8219,662,142,6043,0,0,0,750,167,6754,689,203,7845
Roswell International Air Center,ROW,Roswell,974,233,55,645,11674,143,37,1699,141,19,821,144,31,1663,142,38,2612,140,37,1603,123,35,1272,141,36,2004,89,27,1953,80,27,1038,93,28,1416,90,22,876,89,23,1992,90,19,1075,91,15,686,93,10,328,89,18,574,0,0,0,83,27,1076,87,17,660
Rochester International Airport,RST,Rochester,2054,466,79,1453,23607,300,66,3855,297,70,2409,304,80,4226,294,70,4159,294,65,3096,273,54,2922,292,61,2940,187,68,3095,176,75,3580,189,42,2121,184,28,2206,182,31,1511,197,41,2530,215,47,2344,205,37,1502,174,26,1633,0,0,0,174,31,1324,171,40,1761
Southwest Florida International Airport,RSW,Ft. Myers,27350,9153,326,16679,331626,3872,1245,49071,3891,1348,46275,3819,1359,44855,3937,1424,51629,3818,1286,45571,4100,1298,48868,3913,1193,45357,3107,1044,36022,3107,1283,48854,4079,1552,54967,3049,983,29371,2163,574,19957,1721,570,23199,1709,502,21269,1564,504,19639,1378,451,13875,0,0,0,2462,665,21540,3011,1025,42933
Santa Fe Municipal Airport,SAF,Santa Fe,1504,424,60,878,19896,214,66,1960,222,61,2462,214,61,2922,220,66,3246,217,61,3519,205,50,3602,212,59,2185,119,47,1666,120,46,1327,152,48,1543,179,54,3642,182,46,2242,184,50,2962,156,39,1718,139,30,1568,97,22,697,0,0,0,86,24,1224,90,18,1307
San Diego International Airport (Lindbergh Field),SAN,San Diego,70207,26617,785,38655,769637,10471,4224,119514,10228,3862,115045,10332,3638,103341,10378,4138,113710,10143,4033,117919,8700,2811,81209,9955,3911,118899,6086,2153,59473,5480,2037,57759,6589,2431,70719,6422,2345,61170,6591,2514,70750,6767,2949,86465,7028,3069,99442,6877,2597,71471,6172,1729,43726,0,0,0,5966,2179,63175,6229,2614,85487
San Antonio International Airport,SAT,San Antonio,29788,10009,331,17977,311768,4496,1483,46549,4426,1369,45433,4454,1445,46994,4439,1589,48031,4397,1617,50460,3362,1046,30109,4214,1460,44192,2592,919,27024,2298,789,22131,2738,1081,27057,2827,977,30301,3008,1139,40559,2970,1160,41928,3003,1142,33782,2786,751,26462,2470,423,10707,0,0,0,2501,754,20932,2595,874,30885
Savannah/Hilton Head International Airport,SAV,Savannah,7542,2765,145,4159,100544,1094,397,16600,1062,360,16720,1093,363,13294,1090,429,15824,1079,396,11912,1027,411,12063,1097,409,14131,612,193,6553,560,214,8251,681,254,9529,746,283,11299,800,285,10094,762,364,15723,746,323,12714,752,283,8633,662,184,5011,0,0,0,658,188,4862,563,194,7875
Santa Barbara Municipal Airport (Santa Barbara Airport),SBA,Santa Barbara,6017,1476,127,4222,69875,896,240,11299,868,226,11040,896,200,8279,886,219,10947,869,223,10510,731,134,5485,871,234,12315,578,165,9145,485,134,7321,480,114,5640,562,113,4761,571,139,6980,596,144,6264,624,165,8112,613,173,6719,539,116,4778,0,0,0,511,77,3316,458,136,6839
South Bend International Airport (South Bend Regional),SBN,South Bend,4454,1314,101,2846,66441,695,251,16574,655,206,11217,659,160,8883,673,201,7622,659,211,8853,486,116,4648,627,169,8644,384,149,8352,394,187,10239,468,119,5788,407,86,3830,396,89,3255,403,142,7545,399,92,3496,414,119,6935,411,116,4088,0,0,0,387,100,5701,391,115,7212
San Luis Obispo County Regional Airport (McChesney Field),SBP,San Luis Obispo,3133,817,65,2121,35656,454,123,5591,438,121,4794,451,106,4673,451,127,5391,443,135,5544,447,82,2476,449,123,7187,419,120,5869,381,91,4788,432,120,4927,275,68,1953,248,61,2174,240,52,2604,218,66,3271,228,67,2537,260,63,2528,0,0,0,214,34,1289,218,75,3716
Deadhorse Airport (Prudhoe Bay Airport),SCC,Deadhorse,855,230,18,576,6846,144,44,1296,144,31,597,96,33,1137,95,21,720,139,43,980,141,34,1421,96,24,695,80,27,1054,72,26,465,80,25,891,76,23,690,80,12,300,78,17,627,79,20,851,80,27,622,77,21,500,0,0,0,76,15,618,77,17,228
University Park Airport,SCE,State College,911,235,25,630,12049,128,33,2659,123,30,1610,122,30,1920,127,32,1508,127,36,1762,138,37,1331,146,37,1259,65,32,1829,59,22,1604,73,16,841,73,17,475,73,21,750,85,30,2023,148,29,1591,144,20,756,61,12,403,0,0,0,60,14,655,70,22,1122
Louisville International Airport (Standiford Field),SDF,Louisville,10204,3284,231,6175,120253,1536,457,18380,1530,476,18186,1566,496,19817,1506,506,20962,1498,537,17816,1137,346,11679,1431,466,13413,944,315,9573,871,312,11782,1045,333,14341,923,299,12121,1062,293,11304,995,355,15166,912,287,10612,873,233,8579,812,238,7451,0,0,0,923,306,8545,844,313,10779
Seattle-Tacoma International Airport,SEA,Seattle,110899,40865,450,62453,1028302,16408,6117,161929,15864,5686,144348,16218,5718,136052,16216,6104,155675,16066,6169,157695,14284,5079,120445,15843,5992,152158,8427,3070,87936,7719,2519,70295,9271,3192,84469,9254,2516,61634,10346,3155,71927,11186,4666,111917,11998,5085,123094,12082,5526,132436,10508,3466,76038,0,0,0,9739,3333,87904,10369,4337,120652
San Francisco International Airport,SFO,San Francisco,148008,58704,2148,79401,2004563,22152,9576,364447,21576,8192,280540,21901,8087,244413,21982,9446,315712,21733,8999,319665,17686,5576,159997,20978,8828,319789,12891,4756,166404,11569,4626,175304,13422,4825,152770,13019,4682,143968,13543,5644,184814,13846,6233,209557,14444,6440,215837,14590,6045,186258,13326,4185,110446,0,0,0,13537,4514,139850,13821,6754,319355
Springfield-Branson National Airport,SGF,Springfield,6236,1801,174,3959,86036,935,300,17187,920,260,12355,919,283,12772,931,269,13734,921,278,9908,750,174,8422,860,237,11658,590,190,7905,542,181,11552,654,209,8588,605,170,7904,653,194,8510,652,197,9901,474,148,6241,502,136,6223,478,87,4666,0,0,0,530,127,6161,556,162,8385
St. George Regional Airport,SGU,St George,1777,424,6,1230,13534,261,65,1750,264,73,3622,263,63,2975,255,62,1142,252,61,1195,222,40,1397,260,60,1453,146,27,1073,136,31,543,177,34,1100,176,50,1734,181,46,928,150,41,1219,153,29,447,155,28,594,171,37,2895,0,0,0,171,51,1529,161,50,1472
Shreveport Regional Airport,SHV,Shreveport,6099,1793,150,3913,86560,915,275,15356,921,261,14304,920,267,14891,896,275,11458,885,263,10631,687,179,7836,875,273,12084,550,191,8391,486,141,5474,549,200,9607,544,160,7756,570,197,11493,581,222,12028,594,166,6640,578,150,6695,533,105,4577,0,0,0,559,134,6162,555,127,7737
Sitka Rocky Gutierrez Airport,SIT,Sitka,1342,316,9,979,10347,196,44,1497,193,46,2104,192,37,1100,189,43,1194,187,58,1668,190,39,1637,195,49,1147,92,23,784,84,22,1617,93,28,686,90,35,901,116,18,380,174,34,724,186,34,1493,217,44,1451,112,34,846,0,0,0,87,25,954,91,19,511
Norman Y. Mineta San José International Airport,SJC,San Jose,38200,13792,438,21681,383282,5866,2149,58426,5717,1756,48454,5861,1880,49201,5730,2284,63367,5742,2368,66476,4029,1224,33611,5255,2131,63747,3334,1101,33924,3006,995,24336,3330,1098,30067,3471,1185,32210,3664,1320,33357,3722,1442,40980,3828,1511,51032,3754,1329,38308,3443,1025,25200,0,0,0,3334,1264,32207,3314,1522,41661
San Angelo Regional Airport (Mathis Field),SJT,San Angelo,1628,439,77,1034,18919,238,61,3445,239,64,3740,240,63,3202,238,58,1904,233,73,2852,224,69,2138,216,51,1638,151,41,1437,136,38,1140,155,64,3010,150,56,2881,155,59,3501,146,32,1404,151,37,1598,150,24,717,141,28,885,0,0,0,141,32,898,152,28,1448
Luis Muñoz Marín International Airport,SJU,San Juan,24656,9202,191,14057,325309,3498,1268,45168,3330,1250,45595,3304,1280,38444,3376,1282,46549,3384,1241,40882,3905,1504,54801,3859,1377,53870,2349,944,33009,2002,786,34651,2270,894,37741,2242,666,23384,2143,691,25010,2328,815,30839,2549,975,30423,2324,1035,34943,1726,516,16538,0,0,0,2146,723,16856,2577,1157,41915
Salt Lake City International Airport,SLC,Salt Lake City,97210,27395,395,63719,773242,14669,4372,134265,14005,3854,111956,14288,3895,104766,14356,4156,115647,14152,4020,111657,11524,3060,77738,14216,4038,117213,8635,2609,74389,7864,2219,62602,9476,2635,71980,8843,2256,66853,8762,2120,56401,8980,2837,79005,9508,2738,87058,9500,2814,76223,8405,1810,40398,0,0,0,8442,2107,54110,8795,3250,104223
Sacramento International Airport,SMF,Sacramento,37212,14416,358,19866,385531,5651,2216,60464,5530,2009,48999,5588,2107,51226,5561,2311,66391,5510,2225,63826,4220,1487,35384,5152,2061,59241,3218,1217,35946,2941,1139,30723,3223,1233,31056,3364,1243,29363,3640,1421,36683,3552,1566,45470,3642,1553,48242,3639,1413,42467,3523,1061,23562,0,0,0,3245,1101,24870,3225,1469,37149
Santa Maria Public Airport (Capt G. Allan Hancock Field),SMX,Santa Maria,664,157,12,468,9073,96,32,1268,97,28,1832,96,20,886,95,17,1147,92,15,963,93,15,1384,95,30,1593,60,12,932,56,18,1949,62,21,1022,60,9,599,63,19,1114,60,7,244,62,16,405,62,18,789,60,8,339,0,0,0,59,12,692,60,17,988
John Wayne Airport (Orange County Airport),SNA,Santa Ana,37187,13654,386,20751,345696,5716,2255,60258,5596,1919,48954,5691,1929,46187,5602,2211,54206,5546,2129,52739,4067,1247,31690,4969,1964,51662,3185,1092,28899,2943,1054,27194,3372,1245,26609,3311,1229,30815,3355,1264,33038,3370,1255,32842,3601,1361,35915,3613,1327,33813,3407,950,21225,0,0,0,3443,1300,30374,3587,1577,44972
Abraham Lincoln Capital Airport,SPI,Springfield,1587,382,65,1065,21019,234,45,2232,225,59,3569,229,60,4112,232,61,4023,228,58,2114,211,37,1507,228,62,3462,129,36,1450,126,36,1705,151,31,1863,142,33,1786,149,46,2004,150,36,2740,154,39,983,153,28,948,145,24,1304,0,0,0,140,27,1663,148,46,4573
Wichita Falls Municipal Airport/Sheppard AFB,SPS,Wichita Falls,1234,324,61,812,14160,177,62,2227,174,50,3199,178,39,1166,178,48,1598,177,49,2620,176,42,2225,174,34,1125,106,40,1022,103,31,1819,124,50,2316,120,37,1532,123,47,2026,120,33,1151,122,31,787,122,15,868,112,11,430,0,0,0,90,14,1320,92,15,889
Sarasota-Bradenton International Airport,SRQ,Sarasota,3370,1102,39,2091,42877,490,132,6186,485,174,6495,483,186,7423,484,189,7223,476,165,5902,458,127,5127,494,129,4521,312,99,4895,330,138,5783,461,182,7423,358,129,3951,282,68,2911,293,80,3035,241,73,3378,226,62,2294,209,50,1256,0,0,0,297,79,2647,361,142,5304
St. Cloud Regional Airport,STC,St Cloud,83,28,5,46,1826,12,6,438,12,5,312,12,5,271,14,5,537,14,3,51,6,2,116,13,2,101,58,17,1286,25,11,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Louis International Airport at Lambert Field,STL,St Louis,46963,18253,647,25579,566550,7132,2884,96869,7121,2638,89797,7145,2727,83199,6974,2979,90656,6902,2867,80173,5265,1806,53560,6424,2352,72296,4078,1538,43797,3639,1436,45717,4431,1714,45592,4332,1552,48479,4349,1752,58064,4441,2198,80705,4613,1989,66751,4457,1535,45749,4152,1144,27459,0,0,0,4178,1496,38992,4293,1899,65245
Cyril E. King Airport,STT,Charlotte Amalie,4348,1531,49,2598,68911,563,187,11041,506,171,6998,525,172,6735,562,188,6500,578,181,8706,882,373,16198,732,259,12733,476,197,7789,430,169,8390,488,197,8888,475,138,5249,410,132,5856,384,144,5956,396,134,5805,351,120,4454,184,33,1933,0,0,0,313,101,5127,441,166,9464
Henry E. Rohlsen Airport,STX,Christiansted,939,348,3,548,11526,138,46,1097,121,36,1405,111,47,1190,111,40,940,125,42,1016,195,90,4007,138,47,1871,91,39,1250,81,37,1482,93,45,1184,88,20,664,88,26,822,96,34,805,101,42,1149,85,32,643,60,26,2257,0,0,0,70,22,364,86,25,906
Friedman Memorial Airport,SUN,Hailey,956,201,88,625,8642,134,31,1205,122,23,1222,124,26,1647,133,26,1113,137,29,1083,156,32,987,150,34,1385,98,28,980,88,24,572,120,14,1007,55,7,139,20,4,65,76,9,515,131,38,1761,128,29,1592,82,19,718,0,0,0,56,4,235,102,25,1058
Sioux Gateway Airport,SUX,Sioux City,620,155,29,409,8551,96,29,1668,96,23,1864,96,21,1069,95,26,1424,94,29,1867,48,9,142,95,18,517,58,14,732,52,19,1326,58,14,557,56,10,605,56,17,491,56,13,548,58,12,417,57,13,865,56,12,943,0,0,0,55,12,1201,58,19,866
Stewart International Airport,SWF,Newburgh,695,209,12,451,10382,100,32,2292,100,28,1084,99,22,771,101,26,1684,97,25,1092,95,39,1882,103,37,1577,62,15,971,68,32,1964,63,20,820,62,26,798,67,14,648,63,14,310,62,15,894,63,18,1397,60,14,365,0,0,0,60,24,699,65,17,1516
Syracuse Hancock International Airport,SYR,Syracuse,5608,1363,146,3929,61448,829,196,11043,826,218,8945,854,211,8864,823,210,9487,806,200,8840,666,134,5541,804,194,8728,463,135,6499,423,168,7145,499,138,6479,416,80,3959,477,83,3334,485,111,5178,538,129,5514,571,126,5043,533,101,4924,0,0,0,595,129,5095,608,163,8278
Tallahassee International Airport,TLH,Tallahassee,3194,800,42,2204,33902,480,130,5521,467,120,3783,462,112,5458,471,130,5558,468,125,4771,387,69,3144,459,114,5667,331,82,3682,294,99,4267,357,92,2732,290,63,1914,281,55,2929,283,106,5184,284,71,2998,293,70,3398,259,39,1495,0,0,0,257,57,1346,265,66,3957
Toledo Express Airport,TOL,Toledo,962,169,65,701,7697,143,28,2022,144,22,975,144,23,1109,143,24,919,139,36,1392,106,14,396,143,22,884,89,21,979,80,27,1258,89,15,704,86,11,336,87,17,654,90,15,546,91,13,589,93,15,272,87,15,1024,0,0,0,84,12,1000,86,8,335
Tampa International Airport,TPA,Tampa,63906,23352,624,36574,814320,9387,3485,128165,9116,3290,121646,9273,3290,113430,9197,3509,117575,9173,3471,114828,8683,3147,112591,9077,3160,106085,5970,1986,60987,5455,2125,70303,6854,2645,89154,6167,2196,63779,5938,2093,80405,5737,2507,99252,5853,2456,94518,5431,2158,93884,4769,1337,40402,0,0,0,5665,1641,44406,6067,2208,77230
Tri-Cities Regional Airport,TRI,Bristol,1928,490,21,1334,18894,302,78,3219,297,95,2681,302,77,3307,291,86,4346,288,65,2417,194,36,1145,254,53,1779,166,41,1066,151,42,1502,173,42,1705,165,36,1429,194,45,1856,196,66,2318,195,76,2536,198,57,2900,161,30,966,0,0,0,151,24,1027,178,31,1589
Trenton Mercer Airport,TTN,Trenton,2830,970,51,1715,52701,415,141,9155,410,135,6371,391,141,8254,415,143,5964,415,162,8010,367,110,7017,417,138,7930,239,123,6540,206,123,9853,231,100,6849,233,47,1941,279,75,2647,270,69,5457,279,84,4296,279,85,2694,270,93,4004,0,0,0,267,80,3621,277,91,4799
Tulsa International Airport,TUL,Tulsa,13970,4289,231,8862,155662,2137,657,26492,2062,577,22202,2109,655,25519,2105,690,26141,2080,682,22520,1529,393,11614,1948,635,21174,1287,371,12093,1192,382,12818,1456,434,13925,1234,313,11417,1239,448,18977,1304,509,21478,1285,425,15172,1291,352,11497,1313,270,8358,0,0,0,1201,397,15048,1168,388,14879
Tucson International Airport,TUS,Tucson,15117,4174,154,10140,147902,2228,710,27267,2135,538,18110,2181,605,20613,2191,644,23349,2159,598,19431,2049,530,18290,2174,549,20842,1453,373,12316,1363,394,12966,1628,486,14616,1528,427,15615,1476,385,13082,1253,391,13814,1251,365,13786,1270,325,17349,1168,212,7297,0,0,0,1354,379,10680,1373,437,16381
Cherry Capital Airport,TVC,Traverse City,2756,617,92,1953,26455,389,91,5613,394,90,3307,375,81,4528,389,83,2209,378,93,3682,428,104,4091,403,75,3025,197,69,4431,194,76,3704,246,42,1314,238,33,1351,195,24,778,305,70,3004,380,90,3090,380,96,3503,230,48,2070,0,0,0,197,25,1416,194,44,1794
Magic Valley Regional Airport (Joslin Field),TWF,Twin Falls,815,137,9,638,3750,125,24,781,124,25,508,124,17,453,119,17,346,118,16,503,82,13,113,123,25,1046,62,6,73,53,2,6,58,5,148,56,6,234,88,12,208,86,7,23,89,13,987,88,21,340,83,9,123,0,0,0,82,22,409,70,34,1199
Texarkana Regional Airport (Webb Field),TXK,Texarkana,978,240,60,655,8980,143,43,1895,143,41,1150,144,25,674,143,27,1112,139,30,926,126,28,1408,140,46,1815,89,31,1018,80,13,442,93,30,856,90,24,1095,93,23,940,90,21,604,92,20,375,91,14,831,86,20,798,0,0,0,83,24,1418,91,20,603
Tyler Pounds Regional Airport,TYR,Tyler,2300,616,100,1488,27405,355,104,4517,347,110,4816,345,84,4841,352,88,3398,346,74,2851,263,72,3477,292,84,3505,193,67,2992,181,47,1649,209,81,2540,201,55,2127,220,78,5872,224,90,3721,233,52,1402,226,61,3115,215,26,897,0,0,0,207,36,1760,191,23,1330
McGhee Tyson Airport,TYS,Knoxville,6963,2265,172,4314,98364,1053,376,19966,1064,338,15087,1045,332,15750,1061,362,14523,1023,334,12705,689,195,7320,1028,328,13013,603,208,9718,551,217,9176,664,243,11017,635,184,6190,675,219,8413,680,271,12056,706,259,11593,683,203,10749,629,129,4177,0,0,0,582,143,5258,555,189,10017
Northeast Florida Regional Airport (St. Augustine Airport),UST,St. Augustine,155,71,11,67,2864,26,9,499,23,14,503,26,10,253,24,12,445,25,11,422,9,4,315,22,11,427,16,7,152,13,7,444,13,9,160,14,2,158,13,5,313,13,5,84,13,8,148,13,8,481,13,9,266,0,0,0,17,5,356,17,6,302
Valdez Airport,VEL,Vernal,206,10,6,186,1336,34,1,365,34,2,185,34,1,9,36,1,96,34,3,45,17,1,626,17,1,10,53,6,679,48,2,636,53,0,0,52,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valdosta Regional Airport,VLD,Valdosta,935,208,8,659,9276,142,41,2170,144,33,1479,142,32,1687,138,39,1375,136,31,1315,94,8,268,139,24,982,87,16,707,78,15,749,89,25,699,84,20,481,86,15,707,86,22,1088,87,21,922,87,22,1610,82,12,422,0,0,0,84,21,479,85,19,1412
Destin-Fort Walton Beach Airport/Eglin AFB,VPS,Valparaiso,4868,1357,99,3185,63095,707,187,8197,683,176,11450,699,193,10675,697,224,9536,689,204,7867,692,171,8079,701,202,7291,385,96,4048,346,108,4855,440,139,7447,441,118,6568,465,144,5955,531,199,11295,540,150,5872,494,125,4491,407,80,3188,0,0,0,400,84,3464,419,114,5912
Wrangell Airport,WRG,Wrangell,664,194,11,451,6997,96,26,720,96,24,1043,96,26,1040,94,28,771,92,36,1579,94,29,1216,96,25,628,62,16,813,56,10,303,62,20,1241,60,17,427,62,19,513,60,24,1007,62,24,758,62,30,867,60,14,260,0,0,0,58,12,303,60,8,505
Westerly State Airport,WYS,West Yellowstone,208,41,0,121,994,36,7,238,18,3,21,18,3,130,34,8,248,34,9,81,34,8,238,34,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,15,470,53,11,327,54,7,81,50,8,116,0,0,0,0,0,0,0,0,0
Northwest Arkansas Regional Airport,XNA,Fayetteville/Springdale/Rogers,9283,2776,296,5832,141499,1483,508,29456,1478,405,21289,1477,478,25440,1445,448,21121,1435,406,19512,861,205,7243,1104,326,17438,765,240,10806,740,302,15284,882,320,17420,830,240,12515,831,242,10747,901,323,18049,933,273,13156,907,241,12421,902,178,7103,0,0,0,814,205,13520,778,212,10478
Yakutat Airport,YAK,Yakutat,662,128,5,516,3867,96,12,260,96,19,662,96,13,502,92,27,628,92,19,562,94,19,463,96,19,790,60,9,369,56,7,213,62,14,614,60,17,331,62,11,178,60,13,302,62,11,297,62,11,368,60,20,583,0,0,0,58,8,360,60,7,252
Yuma International Airport,YUM,Yuma,1877,339,23,1410,13530,282,48,2276,269,54,1893,279,46,1339,281,68,3075,280,52,2113,205,31,993,281,40,1841,165,43,1731,156,33,1600,186,45,2021,178,34,1088,177,22,1510,171,31,1853,177,15,438,174,23,1292,157,18,532,0,0,0,160,38,810,176,37,655
